ts	phase	decision	why	evidence	result
2026-09-06T22:26:13Z	frame	Defined done as preemptible selected-first decoding plus a bounded persistent thumbnail cache with repeatable Nitro cold and warm measurements	The current prototype proves pixels but repeats expensive work and can make the selected photo wait behind stale work	commit 10d7cb1; docs/decode-prototype.md	open
2026-09-06T22:29:05Z	baseline	Measured two full 97-file Nitro decode passes before adding Crema caching	The same warmed filesystem still repeats all codec work, so the second pass is the honest no-cache comparison	/tmp/crema-browser-baseline-probe.tsv; /tmp/crema-browser-baseline-time.txt; /tmp/crema-browser-baseline-time-warm.txt	49.99 s first pass; 50.28 s second pass; 1041055744 B max RSS both passes; 97 decoded
2026-09-06T22:38:14Z	grounding	Separated reusable preview identity from per-execution attempt identity and kept persistent pixels on the CPU side of the egui boundary	Key-only active state loses same-key re-demand, permanent decoder cancellation poisons later work, and GPU textures cannot survive restart	/tmp/crema-browser-grounding.md; crates/crema-app/src/jobs.rs; crates/crema-app/src/browser.rs; crates/crema-image/src/worker.rs	architecture candidates must prove A-to-B-to-A, lost-wakeup shutdown, backpressure, cache corruption, and honest measurement
2026-09-06T22:46:49Z	design	Selected candidate B as the base and grafted priority-aware result admission, viewer-derived thumbnails, GUI first-draw milestones, and selected-before-maintenance ordering	B scored highest for ownership clarity and implementability while A supplied stronger publication and measurement semantics	/tmp/crema-browser-architecture-a.md; /tmp/crema-browser-architecture-b.md; /tmp/crema-browser-arena-judgment.md	52.0/60 base; defer strict cross-process quota, duplicate selection epochs, and worker streaming
2026-09-06T23:02:49Z	implement	Replaced permanent decoder cancellation and key-only FIFO demand with per-attempt tokens, interest and attempt identities, selected-first slots, and a mutex-owned shutdown predicate	The old implementation poisoned later decodes and could admit stale same-key work after A-to-B-to-A	/tmp/crema-cancel-before.log; /tmp/crema-cancel-after.log; /tmp/crema-scheduler-before.log; /tmp/crema-scheduler-after.log	red regressions reproduced; real-child cancellation and 8 app state tests green
2026-09-06T23:02:49Z	implement	Added and integrated a bounded app-owned CPU thumbnail cache with restart-stable metadata keys	Persistent cache behavior needed real filesystem proof before GUI integration	/tmp/crema-cache-before.log; /tmp/crema-cache-integrated.log	red roundtrip reproduced; restart roundtrip and 9 integrated app tests green
2026-09-06T23:19:19Z	verify	Ran five-sample mixed ORF JPEG HEIC cold warm next-photo cancellation and pressure scenarios through real release processes	The implementation needed direct evidence for latency, cache reuse, cancellation, memory, and source integrity	/private/tmp/crema-nitro-proof-20260906-1614/summary.tsv; /private/tmp/crema-nitro-proof-20260906-1614/host.json	35 runs; cold thumbnail p50 725454 us; warm p50 1261 us with 0 source bytes and 0 workers; cancel-to-reap p50 5862 us; originals unchanged
2026-09-07T00:54:21Z	review	Fixed two P1 and nine smaller independent-review findings, then hardened corrupt cleanup against replacement races	The first review found source-root writes and cached-selection scheduling defects; re-review found traversal and cleanup races	/tmp/crema-review-before.log; /tmp/crema-rereview-before.log; /tmp/crema-cleanup-before.log; crates/crema-app/src/thumbnail_cache.rs	accepted findings encoded in tests; final Unix cache cleanup re-review clean except documented non-Unix persistence limitation
2026-09-07T00:54:21Z	verify	Reran the corrected schema-two Nitro harness with true next-photo transitions separated from initial open	The original aggregate mixed initial-open latency into next-photo results	/private/tmp/crema-nitro-final-20260906-1640/summary.tsv; /private/tmp/crema-nitro-final-20260906-1640/host.json	35 runs; cold p50 706624 us; warm p50 1509 us and zero source reads/workers; next-photo p50 294016.5 us p95 335034 us; cancel-to-reap p50 7638 us; originals unchanged
2026-09-07T00:54:21Z	verify	Drove the native GUI through grid selection, JPEG viewer, HEIC navigation, and RAW thumbnail-to-full-preview replacement	Headless readiness is not proof that egui drew usable pixels or exposed state to accessibility	Computer Use screenshots and accessibility tree; /tmp/crema-gui-verified-cache	97-photo mixed grid rendered; loading state accessible; JPEG HEIC and ORF viewers rendered; final native metrics-exit recheck blocked when Mac locked
