timestamp	phase	decision	reason	evidence	result
2026-09-06T00:00:00-07:00	frame	scope owned XMP only	foreign XMP translation is explicitly deferred by the user	user request	accepted
2026-09-06T00:00:01-07:00	ground	keep crate ownership	image owns render and export, core owns sidecars, app owns interaction	docs/initial-plan.md and current crate graph	pending architecture review
2026-09-06T00:00:02-07:00	ground	use one pure exposure renderer	preview and export must share recipe math	docs/initial-plan.md lines 303-305	pending architecture review
2026-09-06T00:00:03-07:00	baseline	preserve the pre-change signal	29 targeted library tests passed	/tmp/crema-editing-baseline.log	clean baseline
2026-09-06T00:00:04-07:00	ground	refuse foreign sidecar collisions	foreign XMP support is deferred but destructive overwrite is not allowed	grounding reports	accepted
2026-09-06T00:00:05-07:00	ground	declare an SDR feasibility renderer	current codecs converge on oriented RGBA8 and discard source profiles	/tmp/crema-editing-ground-render.md	honest limitation required in UI and docs
2026-09-07T00:00:00-07:00	design	choose Candidate B and graft stable namespace plus 1024 interaction tier	export source validation and bounded implementation scored strongest	/tmp/crema-editing-architecture/synthesis.md	implementation shape fixed
2026-09-07T00:00:01-07:00	design	record cross-judge dropout	judge produced no artifact after repeated waits	agent status	parent completed criterion-by-criterion pick
2026-09-07T07:48:52-07:00	diagnose	keep save state machine unchanged	the previously failing stale-completion and I/O-failure path passed unchanged after resuming the interrupted tree	/tmp/crema-editing-stale-red.log and /tmp/crema-editing-stale-green.log	focused test green
2026-09-07T07:48:53-07:00	quality	name parsed element output	clippy rejected the parser's three-part complex tuple	/tmp/crema-editing-checkpoint1-clippy.log	InspectedElement preserves the same parser behavior with a named shape
2026-09-07T07:48:54-07:00	verify	close checkpoint 1	both editing checkpoint suites, formatting, clippy, and whitespace checks must pass	/tmp/crema-editing-checkpoint1-green.log, /tmp/crema-editing-checkpoint1-fmt.log, /tmp/crema-editing-checkpoint1-clippy.log, /tmp/crema-editing-checkpoint1-diff-check.log	14 tests passed and all static checks passed
2026-09-07T07:54:57-07:00	reproduce	refuse duplicate RDF structure	the parser enforced depth per element but not document-wide cardinality	/tmp/crema-editing-checkpoint1-hardening.log	empty-rdf-sibling opened as editable; 10 passed and 1 failed
2026-09-07T07:54:58-07:00	fix	count resolved RDF containers and descriptions	the invariant belongs at the parsed XML structure boundary	crates/crema-core/src/sidecar.rs	exactly one rdf:RDF and one rdf:Description are required
2026-09-07T07:54:59-07:00	fix	do not propagate post-publication temp cleanup failure	the create-only hard link already made the target durable; parent sync and byte verification determine success	crates/crema-core/src/sidecar.rs	cleanup is best effort and normal cleanup is asserted on the real filesystem
2026-09-07T07:55:00-07:00	verify	close checkpoint 1 hardening	focused regressions, repeated unreachable-parent checks, both checkpoint suites, formatting, clippy, and whitespace checks pass	/tmp/crema-editing-checkpoint1-hardening.log, /tmp/crema-unreachable-parent-1.log, /tmp/crema-unreachable-parent-2.log, /tmp/crema-unreachable-parent-3.log, /tmp/crema-editing-checkpoint1-core.log, /tmp/crema-editing-checkpoint1-image.log, /tmp/crema-editing-checkpoint1-fmt.log, /tmp/crema-editing-checkpoint1-core-clippy.log, /tmp/crema-editing-checkpoint1-image-clippy.log, /tmp/crema-editing-checkpoint1-diff-check.log	16 checkpoint tests passed, the parent-path regression passed 3 of 3 runs, and all static checks passed
2026-09-07T13:08:42-07:00	reproduce	carry the decoder-validated source stamp into editing	capturing the path again after decode reintroduced a replacement window	/tmp/crema-editing-review-red.log	preview callback regression failed until SourceStamp became part of the decode completion
2026-09-07T13:08:43-07:00	fix	make viewer activation and eviction own render state	cached navigation needs a fresh settled render after its edited texture was evicted, and evicted viewer pixels invalidate their render demand	crates/crema-app/src/browser.rs	activation resubmits only for a nonzero recipe without an accepted texture; every viewer eviction clears edited texture and demand
2026-09-07T13:08:44-07:00	fix	confirm dirty close and report the exported recipe	closing with unsaved edits must be an explicit choice, and export completion can lag newer controls	crates/crema-app/src/browser.rs and crates/crema-app/src/editor.rs	close is cancelled for a modal choice; export status names its exposure and flags newer controls
2026-09-07T13:08:45-07:00	decision	limit durability claims to macOS	SourceIdentity and durable publication still lack Windows implementation and proof	README.md and docs/decode-prototype.md	Unix-dependent identity tests are cfg-gated and documentation names the proven platform
2026-09-07T13:08:46-07:00	verify	close checkpoint 2 review fixes	full app, core, and image tests plus formatting, clippy warnings-as-errors, and whitespace checks must pass	/tmp/crema-editing-final-app.log, /tmp/crema-editing-final-core-all.log, /tmp/crema-editing-final-image-all.log, /tmp/crema-editing-final-fmt.log, /tmp/crema-editing-final-clippy.log, /tmp/crema-editing-final-diff-check.log	all package tests and static checks passed
