ts	phase	decision	why	evidence	result
2026-09-07T22:36:02Z	frame	defined Phase 0 completion as direct evidence for every acceptance claim	unverified platforms, camera modes, color paths, and assistive access cannot count as complete	docs/initial-plan.md:351	open
2026-09-07T22:36:02Z	baseline	ran the complete current workspace test suite before changing code	the verifier needs a known-good baseline that predates its own implementation	/tmp/crema-phase0-baseline-tests.txt	70 tests passed
2026-09-07T22:36:02Z	ground	separated UI proof from codec, color, sidecar, license, and platform proof	the initial plan defines two bounded proofs and the code already has the same ownership split	docs/initial-plan.md:361	architecture comparison running
2026-09-07T22:52:14Z	architecture	chose one Phase 0 command with private domain checks and pass, fail, or blocked outcomes	separate verifier binaries made callers coordinate one workflow and an external requirements manifest would duplicate the plan	architect candidates A and B plus independent judge	selected candidate A with candidate B internal seams
2026-09-07T22:52:14Z	scope	kept mac-local and release verdicts separate	a Mac can prove its native behavior but cannot mint Windows, Linux, NVDA, Orca, or physical display evidence	docs/initial-plan.md:351	release must stay blocked until native evidence exists
2026-09-07T23:10:00Z	toolchain	declared Rust 1.95 and added native builds for macOS, Windows, and Linux	the workspace needs one compiler contract and each OS must execute its own tests rather than accept cross-compiled evidence	Cargo.toml;.github/workflows/ci.yml	local Mac is directly testable; Windows and Linux remain unproved until CI runs
2026-09-07T23:18:00Z	naming	renamed the runtime benchmark binary and scripts to Crema-owned functional names	project artifacts must not carry the earlier competitor name	crema-runtime-bench;benchmark-preview-runtime.py	all code, tests, and docs use neutral names
2026-09-07T23:34:00Z	color	converted valid embedded JPEG ICC profiles to sRGB and refused unsupported HEIC color paths	showing unconverted profiled, high-bit, PQ, HLG, or hidden-ICC pixels would turn decoder success into false color evidence	crema-image decode tests;worker protocol tests;thumbnail cache tests	valid JPEG ICC conversion passes;invalid JPEG ICC and unsupported HEIC color return unsupported-color
2026-09-07T23:49:00Z	accessibility	gave thumbnails and viewer images stable asset-based IDs, names, focus indication, and keyboard reveal	virtual rows must retain assistive identity and keyboard selection must remain visible	browser accessibility helper test;cargo test -p crema-app --lib browser::tests::	9 browser tests pass;native screen-reader behavior remains unproved
2026-09-07T23:49:00Z	metrics	recorded GUI frame, edit-render, save, and export request/completion events	receipt and draw metrics alone cannot separate UI work from editor latency	browser.rs;metrics.tsv schema	opt-in metrics now expose frame cost and edit operation intervals without claiming monitor presentation
