ts	phase	decision	why	evidence	result
2026-09-08T00:00:00-07:00	frame	treat F1 through F8 as the repair scope and keep hardware-only acceptance rows open	each finding has a repository fix, while native Windows, Linux, camera, display, and screen-reader proof needs external inputs	docs/reviews/2026-09-08-phase0-review.md, docs/phase0-handoff.md	open
2026-09-08T00:01:00-07:00	design	keep sidecar, image, app, and evidence ownership in their current crates	the review found the three-crate boundary coherent and each defect has one owning boundary	docs/reviews/2026-09-08-phase0-review.md	open
2026-09-08T00:10:00-07:00	F1	record explicit RAW ownership in schema 2 and block ambiguous legacy ownership	same-stem RAWs and conflicting naming variants must not share a writable packet	crates/crema-core/tests/editing_checkpoint.rs	17 core editing tests passed
2026-09-08T00:20:00-07:00	F3	admit only the verified 8-bit NCLX 1,13,6,0 tuple	transfer alone cannot establish safe HEIC color interpretation	crates/crema-image/src/decode.rs	focused HEIC color-gate test passed
2026-09-08T00:30:00-07:00	F4	separate exact render admission from display eligibility	a pending revision may not replace the last accepted edit with the original; accepted display remains bound to asset and input epoch	crates/crema-app/src/browser.rs	focused browser display-state test passed
2026-09-08T00:40:00-07:00	F2	use opened-handle Windows identity and run persistence behavior tests on every platform	source replacement, create-only publication, and owned replacement are one cross-platform boundary; no new dependency is needed	crates/crema-app/src/platform.rs, crates/crema-core/src/sidecar.rs	6 editor runtime and 17 sidecar tests passed on macOS; native Windows remains unverified
2026-09-08T00:50:00-07:00	F5	validate a versioned source-bound GUI receipt and every referenced artifact	source metadata alone cannot prove navigation, edit, save, restart restoration, export, or close	scripts/verify-phase0.py	adversarial source-only, duplicate-session, and tampered-artifact tests passed
2026-09-08T00:51:00-07:00	F6	recompute performance claims from a linked raw log against 16667 us	threshold and measurement definition belong to the assessor, not the receipt producer	scripts/verify-phase0.py	one-second self-selected budget is rejected; valid raw receipt test passed
2026-09-08T00:52:00-07:00	F7	allocate a create-only metrics file and embedded session identity per launch	restart restoration requires two independent normal-exit processes with matching asset and recipe events	crates/crema-app/src/main.rs, scripts/macos-phase0-app.py	single reused launch-log test is rejected
2026-09-08T00:53:00-07:00	F8	run Python contract tests in CI and local evidence collection	validator regressions must fail the platform jobs that consume their output	.github/workflows/ci.yml, scripts/verify-phase0.py	15 Python tests passed locally
2026-09-08T01:00:00-07:00	verification	rer purported review reproductions against the repaired implementation	the retained executable probes must independently show that F1, F3, F5, and F6 no longer reproduce	/tmp/crema-phase0-after.YiKRLU/results	all four reproduction booleans were false
2026-09-08T01:00:01-07:00	correction	read the preceding decision as rerun the review reproductions	append-only audit rows are corrected explicitly rather than rewritten	.audit/phase0-fixes.tsv	wording corrected; evidence and result unchanged
2026-09-08T01:10:00-07:00	F1	treat case-varied RAW stems as the same sidecar slot	case-insensitive filesystems must not turn a safe association into an alias collision	crates/crema-core/src/sidecar.rs, crates/crema-core/tests/editing_checkpoint.rs	case-varied collision test passed
2026-09-08T01:11:00-07:00	F2	prove repeated owned publication replaces the prior packet	Windows replacement semantics need a behavioral contract in addition to the cross-target build	crates/crema-core/tests/editing_checkpoint.rs	second save replaces and reopens the new recipe; native Windows durability remains external
2026-09-08T01:12:00-07:00	F3	correct verified to allowlisted for the admitted HEIC tuple	the decoder gate is exact, but independent numeric color validation remains an acceptance requirement	README.md, docs/phase0-status.md	claims match implemented evidence
2026-09-08T01:13:00-07:00	F4	drive the production Browser viewer in the pending-render regression	a helper-only assertion did not prove which texture the real UI tessellates	crates/crema-app/src/browser.rs	production-path test tessellates accepted texture and excludes original
2026-09-08T01:14:00-07:00	F7	correlate restart persistence by a stable source-path identifier	process-local asset identifiers cannot join save and restore events across launches	crates/crema-app/src/browser.rs, scripts/macos-phase0-app.py, scripts/verify-phase0.py	validator pairs stable path and recipe across two sessions
2026-09-08T01:15:00-07:00	review	accept four cross-model corrections and reject one Windows rename claim	stable restart identity, conservative HEIC wording, production UI coverage, and repeated-save proof were valid; current Rust documents replacement semantics for rename on Windows	docs.rs std::fs::rename, crates/crema-core/tests/editing_checkpoint.rs	accepted corrections implemented; native Windows validation remains open
2026-09-08T01:16:00-07:00	comments	retain both Windows FFI safety comments	they document external invariants that the type system cannot express	crates/crema-app/src/platform.rs	comment review deleted 0, restored 0, and found no mandatory removals
2026-09-08T01:17:00-07:00	evidence	preserve blocked bundle checks in release aggregation	missing camera or approval inputs are unknown coverage, not implementation failures	scripts/verify-phase0.py, scripts/test_verify_phase0.py	real bundle-level regression added
